title,main_story
All That Remains,0.4166666666666667
All The Way Down,0.45
All Walls Must Fall,4.0
All Zombies Must Die!,8.0
All of Our Friends Are Dead,0.45
All the Delicate Duplicates,0.5333333333333333
All-Star Slammin' D-Ball,0.4166666666666667
Alleyway,2.5
Allumette,0.3333333333333333
Almightree: The Last Dreamer,2.0
Alone With You,6.5
Alone in Space,3.0
Alone in the Dark (1992),5.5
Alone in the Dark (2008),9.0
Alone in the Dark 2,5.0
Alone in the Dark 3,6.0
Alone in the Dark: Illumination,4.0
Alone in the Dark: The New Nightmare,8.0
Along the Edge,2.0
Alpha Kimori: Great Doubt - Episode One,6.0
Alpha Mission II,0.85
Alpha Polaris,7.0
Alpha Prime,5.0
Alpha Protocol,13.0
Alphadia,16.5
Alphadia Genesis,17.0
Alphadia Genesis 2,35.0
Alpine Ski,0.08333333333333333
Alter Echo,6.5
Alter Ego (2010),9.0
Alter Ego: Life Simulation,3.0
Alter World,3.0
Altered Beast,1.0
Altered Beast: Guardian of the Realms,2.0
Alternativa,6.0
Alto's Adventure,4.0
Alto's Odyssey,1.0
Alum,6.0
Alundra,28.5
Alundra 2: A New Legend Begins,22.0
Alwa's Awakening,8.5
Always Remember Me,2.0
Always Sometimes Monsters,8.5
Always The Same Blue Sky...,0.8
Amagon,0.5
Amaranthine,3.0
Amazing Adventures: Around the World,4.5
Amazing Island,6.0
Amazing Penguin,2.5
Amazing Princess Sarah,4.0
Amberplanet,1.5
Ame no Marginal: Rain Marginal,3.5
Amelon,2.0
America's Army: Special Operations,0.6666666666666666
American Chopper,5.0
American Conquest,15.5
American Dragon: Jake Long,2.0
American Fugitive,8.5
American Gladiators,1.5
American Idol,0.4166666666666667
American McGee's Alice,11.5
American McGee's Grimm: Episode 01 - A Boy Learns What Fear Is,0.65
American McGee's Grimm: Episode 02 - Little Red Riding Hood,0.5333333333333333
American McGee's Grimm: Episode 03 - The Fisherman and His Wife,0.4666666666666667
American McGee's Grimm: Episode 04 - Puss in Boots,0.6833333333333333
American McGee's Grimm: Episode 05 - The Girl Without Hands,0.7833333333333333
American McGee's Grimm: Episode 06 - Godfather Death,0.65
American McGee's Grimm: Episode 07 - The Devil and His Three Golden Hairs,0.8333333333333334
American McGee's Grimm: Episode 08 - Beauty and the Beast,0.8
American McGee's Grimm: Episode 09 - The Master Thief,0.7833333333333333
American McGee's Grimm: Episode 10 - The Singing Bone,0.7166666666666667
American McGee's Grimm: Episode 11 - King Midas,0.65
American McGee's Grimm: Episode 12 - Cinderella,0.6833333333333333
American McGee's Grimm: Episode 13 - The Golden Goose,0.5833333333333334
American McGee's Grimm: Episode 14 - Iron John,0.7833333333333333
American McGee's Grimm: Episode 15 - The Pied Piper,0.4666666666666667
American McGee's Grimm: Episode 16 - A Christmas Carol,0.7333333333333333
American McGee's Grimm: Episode 17 - The Frog King,0.6166666666666667
American McGee's Grimm: Episode 18 - Jack and the Beanstalk,0.7333333333333333
American McGee's Grimm: Episode 19 - Mulan,0.7333333333333333
American McGee's Grimm: Episode 20 - Pinocchio,0.6666666666666666
American McGee's Grimm: Episode 21 - Sleeping Beauty,0.8
American McGee's Grimm: Episode 22 - The Adventures of Thumbling,0.6166666666666667
American McGee's Grimm: Episode 23 - Snow White,1.5
American Patriots: Boston Tea Party,0.6166666666666667
American Truck Simulator,22.0
Amerzone: The Explorer's Legacy,4.0
Amidar,0.08333333333333333
Amigdala,4.0
Amnesia World,30.0
Amnesia: A Machine for Pigs,4.0
Amnesia: Justine,0.9833333333333333
Amnesia: Memories,7.0
Amnesia: The Dark Descent,8.0
Amok,5.0
Among Ripples,0.25
Among the Heavens,5.0
Among the Sleep,2.5
Among the Sleep: Prologue,0.4
Amped 3,6.5
Amped: Freestyle Snowboarding,20.0
Amphora,2.0
Amplitude,6.5
Amplitude (2015),2.5
Ampu-Tea,0.4166666666666667
AmsterDoom,5.0
Amulet of Dreams,2.0
Amy,4.5
An Alien with a Magnet,1.0
An American Tail: Fievel Goes West,1.0
An Assassin in Orlandes,2.5
An Elder Scrolls Legend: Battlespire,15.0
An Elf's Adventure: Remake,3.0
An Octave Higher,5.0
An Unfolding Tale,0.25
Anachronox,28.0
Analogue: A Hate Story,3.0
Anamorphine,1.0
Anarchy Reigns,5.5
Anarchy: Rush Hour,5.5
Anarcute,5.5
Ancestors Legacy,25.0
Ancient Planet,12.0
Ancient Rus,0.25
Ancient Space,21.0
And Yet It Moves,3.0
Andro Dunos,0.8
Android Assault: The Revenge of Bari-Arm,1.5
Ane-san,0.6666666666666666
Angel Beats! 1st Beat,12.0
Angelica Weaver: Catch Me When You Can,3.5
Angels of Death,7.5
Angels with Scaly Wings,9.0
Angriff der Endoplasmatischen Retiklen,0.25
Angry Arrows,6.0
Angry Birds,6.5
Angry Birds Breakfast,0.45
Angry Birds Breakfast 2,0.45
Angry Birds Epic,13.0
Angry Birds Rio,6.0
Angry Birds Seasons,6.5
Angry Birds Space,4.5
Angry Birds Star Wars,4.0
Angry Birds Star Wars II,4.5
Angry Birds Trilogy,3.0
Angry Video Game Nerd Adventures,3.0
Angry Video Game Nerd II: ASSimilation,3.0
Angvik,1.5
Anima: Gate of Memories,17.5
Animal Crossing,69.0
Animal Crossing: Amiibo Festival,9.5
Animal Crossing: City Folk,68.5
Animal Crossing: Happy Home Designer,12.0
Animal Crossing: New Leaf,86.5
Animal Crossing: Pocket Camp,20.5
Animal Crossing: Wild World,70.0
Animal Gods,2.0
Animal Lover,9.0
Animal Snap,0.9166666666666666
Animal Super Squad,4.0
Animamundi: Dark Alchemist,5.0
Animaniacs,2.0
Animaniacs: Ten Pin Alley,0.6666666666666666
Anime Babes: Solitaire,2.0
Anime Studio Simulator,4.5
Animorphs: Shattered Reality,3.0
Anitroubles,0.25
Ankh,6.0
Ankh 2: Heart of Osiris,7.5
Ankh 3: Battle of the Gods,6.0
Anna Kournikova's Smash Court Tennis,0.9666666666666667
Anna's Quest,9.5
Anna: Extended Edition,4.0
Anne Hathaway: Erotic Mouthscape,0.05
Anno 1404,17.0
Anno 1404: Venice,20.0
Anno 1503: The New World,41.5
Anno 1602,26.0
Anno 1701,21.0
Anno 1701: Dawn of Discovery,18.0
Anno 1701: The Sunken Dragon,20.0
Anno 1800,10.5
Anno 2070,26.5
Anno 2205,17.5
Anodyne,6.0
Anomaly 1729,6.5
Anomaly 2,6.5
Anomaly Defenders,9.5
Anomaly: Korea,3.5
Anomaly: Warzone Earth,6.5
Anomaly: Warzone Earth - Mobile Campaign,4.0
