title,appid,categories,genres,price,developer,publisher
Sea of Thieves,1172620.0,"Multi-player,PvP,Online PvP,Co-op,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,In-App Purchases,Partial Controller Support,Remote Play on Phone,Remote Play on Tablet","Action,Adventure",$39.99,Rare Ltd,Xbox Game Studios
FAITH,1179080.0,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Adventure,Indie",$14.99,Airdorf Games,New Blood Interactive 
Pathfinder: Wrath of the Righteous - Enhanced Edition,1184370.0,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Adventure,Indie,RPG,Strategy",$49.99,Owlcat Games,"META Publishing,Owlcat Games"
Gunfire Reborn,1217060.0,"Single-player,Multi-player,Co-op,Online Co-op,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Remote Play on Phone,Remote Play on Tablet","Action,Adventure,Indie,RPG",$19.99,Duoyi Games,Duoyi Games
Dragon Age™ Inquisition,1222690.0,"Single-player,Multi-player,Co-op,Online Co-op,Steam Achievements,Full controller support,Steam Trading Cards","Action,Adventure,RPG,Strategy",$39.99,BioWare,Electronic Arts
ELDEN RING,1245620.0,"Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Action,RPG",$59.99,FromSoftware Inc.,"FromSoftware Inc.,Bandai Namco Entertainment"
DEVOUR,1274570.0,"Single-player,Multi-player,Co-op,Online Co-op,Steam Achievements,Full controller support,Tracked Controller Support,Steam Trading Cards,Steam Cloud",Indie,$3.99,Straight Back Games,Straight Back Games
GWENT: The Witcher Card Game,1284410.0,"Single-player,Multi-player,PvP,Online PvP,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,In-App Purchases,Partial Controller Support,Remote Play on Tablet","Free to Play,RPG,Strategy",None,CD PROJEKT RED,CD PROJEKT RED
STAR WARS™: The Old Republic™,1286830.0,"Multi-player,MMO,PvP,Co-op,Steam Achievements,Steam Trading Cards,In-App Purchases","Free to Play,Massively Multiplayer,RPG",None,BioWare,Electronic Arts
"Warhammer 40,000: Darktide",1361210.0,"Multi-player,Co-op,Online Co-op,Steam Achievements,Captions available,In-App Purchases,Partial Controller Support","Action,Adventure,Indie",$39.99,Fatshark,Fatshark
